ROG (A),CV (J/K),TAUS (fs)
12.89211969,0.424619954,51862.267
12.07106913,0.475774588,36176.222
12.99087372,0.427859105,52173.781
12.22413473,0.455978294,41585.832
12.35963511,0.439324662,42209.213
11.80569651,0.452763759,35105.135
11.9273178,0.467406562,36209.388
12.30054796,0.464101606,43290.649
13.58516765,0.443110795,58051.846
12.62163104,0.467492439,44006.244
12.45082447,0.457064726,45754.048
12.08355742,0.463618687,39410.331
12.01657564,0.459091818,37724.629
12.46682839,0.442757624,45143.809
12.08779591,0.522595136,35720.942
12.04996971,0.473339096,40140.439
11.92253497,0.461173971,35728.903
12.12604016,0.472785311,40805.443
12.85297592,0.423576396,49877.353
11.6486085,0.513991695,34466.243
13.57215127,0.429792081,60369.682
12.56950516,0.444526201,46155.465
12.17440882,0.440846007,39961.138
12.73369742,0.418271223,48662.607
12.0237228,0.518948137,40216.964
12.05719785,0.485450187,41708.239
12.31832213,0.460489873,42674.497
12.13961408,0.437173596,41671.36
11.69280976,0.506529286,32245.987
12.01591528,0.484795517,38074.974
11.60041508,0.613612634,36380.777
12.60600056,0.450947975,49409.017
12.4608214,0.433178364,44692.173
13.69572744,0.43902025,62294.736
12.16150279,0.630545964,41435.529
11.81458125,0.453702008,36542.979
12.07767858,0.467340209,39160.015
11.39209375,0.521966435,32091.891
12.12873736,0.511112488,42677.715
12.54207319,0.42832594,45499.946
11.88599554,0.524223272,38261.356
11.75548978,0.554708787,37078.542
12.98639673,0.423628429,53896.835
12.616211,0.44469729,46932.779
12.04860946,0.532280753,37361.73
11.66372582,0.467268133,33910.199
13.05542339,0.427674577,57170.931
12.20742192,0.442139037,39060.015
12.38833887,0.465226551,44875.183
12.18911277,0.451975899,41129.707
12.41710796,0.435493901,42897.383
12.26510334,0.44606871,44674.425
11.89938822,0.497111631,34393.773
12.84580865,0.500806935,51070.123
12.14320715,0.639996264,40581.289
12.03913577,0.542898945,39102.274
11.93189423,0.487001382,35321.23
12.5911175,0.497595433,45917.739
12.14992881,0.485106151,35759.164
12.17597758,0.506909478,36733.658
12.67434614,0.492772773,47904.542
12.74640851,0.491532912,46817.522
13.90660383,0.439215636,65816.37
11.92917642,0.45671912,33524.209
12.23718268,0.499893472,40690.984
11.85262671,0.470113369,30259.84
12.41368559,0.521310344,41477.743
13.17398649,0.500560881,54183.076
